Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
The APIS - Strategic,Strategic,2021-03-28T00:00:00.000Z,Waterdrip Capital,3500000,none,Infrastructure platform for index protocol (API) to query & writing data on open blockchain networks,Calvin Pak/Andrew Bakst,https://www.theapis.io/,The APIS,Infrastructure,APIs/Data,none,none
Connext - Seed,Seed,2021-03-23T00:00:00.000Z,Polychain Capital/1kx,2200000,none,"Fast, noncustodial crosschain swaps for EVM chains",Arjun Bhuptani/Layne Haber/Rahul Sethuram,https://connext.network/,Connext,DeFi,Interoperability,none,none
Nifty's - Pre-Seed,Pre-Seed,2021-03-24T00:00:00.000Z,Mark Cuban/Joseph Lubin/Polychain Capital/Draper Dragon/Tally Capital,none,none,"First NFT-focused social media platform for creators, collectors, and curators",Jeff Marsilio,https://niftys.com/,Nifty's,NFTs,Art,none,none
Totem - Strategic,Strategic,2021-03-18T00:00:00.000Z,DuckDAO/Altvest Capital Partners,200000,none,Staking-based prediction markets for the crypto community,Jolyon Layard Horsfall,https://totemfi.com/,Totem,Infrastructure,Prediction,none,none
APWine - Seed,Seed,2021-03-24T00:00:00.000Z,Morningstar Ventures,1000000,none,"A protocol for yield tokenisation, allowing to trade unrealised yield and speculate on the variation of APY",Antoine Mouran,https://www.apwine.fi/,APWine,DeFi,Yield/Trading,none,none
AlienWorlds - Strategic,Strategic,2021-03-26T00:00:00.000Z,Animoca Brands/Longling Capital/3Commas/LD Capital,2000000,none,"Alien Worlds is the second largest NFT blockchain game in the world with over 4,000 unique users per hour",Michael Yeates/Saro Mckenna,https://alienworlds.io/,AlienWorlds,Web3,Gaming,none,none
Hord App - Seed,Seed,2021-03-25T00:00:00.000Z,DAO Maker/Gate.io/LD Capital/Bella/AU21 Capital/SevenX Ventures/Candaq,1000000,none,Dynamic ETFs to follow the Best Crypto Portfolios,Nikola Madjarevic,https://www.hord.app/,Hord App,DeFi,ETF,none,none
Chainanalysis - Series D,Series D,2021-03-26T00:00:00.000Z,Paradigm/Addition/TIME Ventures,100000000,none,"Data platform that powers investigation, compliance and risk management tools ",Michael Gronager,https://www.chainalysis.com/,Chainanalysis,Infrastructure,Risk management/Data,none,none
StarkWare - Series B,Series B,2021-03-24T00:00:00.000Z,Paradigm/Three Arrows Capital/Founders Fund/DCVC/Wing VC,75000000,none,"Scalability solution relying on cryptographic proofs produced by an off-chain prover running in the cloud, and then verified by an on-chain smart-contract",Uri Kolodny/Eli Ben-Sasson/Michael Riabzev/Alessandro Chiesa,https://starkware.co/,StarkWare,Infrastructure,Scalability,none,none
Liquity - Series A,Series A,2021-03-30T00:00:00.000Z,Pantera Capital/Nima Capital/Meltem Demirors/Calvin Liu/George Lambeth,6000000,none,Decentralized borrowing protocol that offers interest-free liquidity against ETH as collateral,Robert Lauko,https://www.liquity.org/,Liquity,DeFi,Lending/Borrowing,https://medium.com/liquity/liquity-raises-6m-in-series-a-funding-cc9296513a7a,none
​​Moonbeam Network - Series A,Series A,2021-03-30T00:00:00.000Z,CoinFund/Binance Labs/Coinbase Ventures/Fenbushi Capital,6000000,none,Ethereum-compatible smart contract platform on the Polkadot network that makes it easy to build natively interoperable applications,Derek Yoo,https://moonbeam.network/,​​Moonbeam Network,Infrastructure,Smart contracts,none,none
SuperRare - Series A,Series A,2021-03-31T00:00:00.000Z,Velvet Sea/Sound Ventures/SamsungNext/1confirmation/Mark Cuban/Marc Benioff,9000000,none,One of the leading marketplaces for NFTs,John Crain,https://superrare.co/,SuperRare,NFTs,Marketplace,none,none
Dapper Labs - Strategic,Strategic,2021-03-31T00:00:00.000Z,"The Chernin Group/Andreessen Horowitz/Union Square Ventures/Version One Ventures/Coatue
  Management",305000000,none,"The team that brought CryptoKitties, HelloDapper, CHZWZRDS, Flow and NBA Topshot",Roham Gharegozlou,https://www.dapperlabs.com/,Dapper Labs,NFTs,Gaming,https://venturebeat.com/2021/03/30/cryptokitties-and-nba-top-shot-maker-dapper-labs-raises-305-million/,none
Kattana - Strategic,Strategic,2021-03-30T00:00:00.000Z,Morningstar Ventures/ZBS Capital/Black Edge Capital/Moonrock Capital/Ascensive Assets,1300000,none,"Bloomberg-like suite of reliable, professional, intuitive, and very fast trading tools that both novice traders and top pros crave",Bohdan Kit,https://kattana.trade/,Kattana,DeFi,Tooling/Analytics/Trading,none,none
Delta - Strategic,Strategic,2021-03-30T00:00:00.000Z,Spartan Group/SinoGlobal Capital/QCP Soteria/LuneX Ventures/Kyber Network/gumi Cryptos/Aave/BR Capital,5000000,none,"Derivatives exchange that offers perpetual swaps, futures, and options on Bitcoin and over 60 altcoins with up to 100x leverage",Pankaj Balani,https://www.delta.exchange/fr,Delta,DeFi,Derivatives/Options/Trading,none,none
Gro - Series A,Series A,2021-03-31T00:00:00.000Z,Galaxy Digital/Northzone/Nascent,7100000,none,Building products for people to have simple and friendly access to DeFi,Hannes Graah,https://www.gro.xyz/,Gro,DeFi,Banking,none,none
Esprezzo - Seed,Seed,2021-03-24T00:00:00.000Z,Sound Ventures/The Chernin Group,2000000,none,A no-code blockchain automation and data platform,Remy Carpinito,https://esprezzo.io/,Esprezzo,Infrastructure,Data/Automation,none,none
imToken - Series B,Series B,2021-03-31T00:00:00.000Z,Qiming Venture Partners/IDG Capital/Breyer Capital/Signum Capital/Longling Capital/SNZ Holding/Xinjun Liang,30000000,none,A a feature-rich digital wallet to securely manage cryptoassets,Ben He,https://token.im/,imToken,Infrastructure,Security/Wallet,none,none
Element Finance - Seed,Seed,2021-03-31T00:00:00.000Z,Placeholder/A.capital/Scalar Capital/Robot Ventures/Joseph Lubin/Fernando Martinelli/Stani Kulechov/Tarun Chitra/Andreessen Horowitz,4400000,none,"Bringing the attractive high fixed rate yields that DeFi users crave while maximizing capital efficiency, creating market liquidity, and reducing user costs",Will Villanueva/Jonny Rhea,https://element.fi/,Element Finance,DeFi,Yield,https://medium.com/element-finance/element-finance-raises-4-4m-to-bring-liquidity-to-fixed-rate-income-and-interest-markets-fea72f4ef726,none
Equalizer - Strategic,Strategic,2021-04-01T00:00:00.000Z,Magnus Capital/LD Capital/NGC Ventures/AU21 Capital,none,none,A dedicated flash loan platform built to have a scalable infrastructure that can handle the rising demand for decentralized flash lending and borrowing without any lag in transactions,Iulian Nita,https://equalizer.finance/,Equalizer,DeFi,Flash loan,none,none
​​Greenwood Finance - Seed,Seed,2021-04-02T00:00:00.000Z,Blockchain Global/Blockchange Ventures/GuoJin Capital/Blockchain Capital,2000000,none,A protocol for borrowing cryptocurrency that aims to help crypto borrowers pay less interest on their loans,Nathaniel Mendoza,https://www.greenwood.finance/,​​Greenwood Finance,DeFi,Lending/Borrowing,none,none
Unbound - Series B,Series B,2020-11-17T00:00:00.000Z,Goldman Sachs/Innovation Endeavors,20000000,none,Making and leveraging cryptographic breakthroughs in multiparty computation,Yehuda Lindell,https://www.unboundsecurity.com/,Unbound,Infrastructure,Security,none,none
ParaLink - Seed,Seed,2021-01-27T00:00:00.000Z,NGC Ventures/Moonrock Capital/Kenetic/3Commas,2800000,none,Multi-chain oracle platform for DeFi applications,Jan Knežević,https://paralink.network/,ParaLink,Infrastructure,Oracle,none,none
​​Antler Interactive - Seed,Seed,2021-01-06T00:00:00.000Z,"NGC Ventures/Bitscale Capital/GBV
  Capital/Kyros
  Ventures/​​Coin98 Ventures/Asymm Ventures/Augment Ventures/BTX Capital/Rarestone Capital/X21 Digital/Felix Xu/Ryan Fang",2100000,none,"Antler Interactive is one of Europe's leading immersive games studios based in Stockholm, working and creating games for the latest in technology! ",Anna Norrevik,https://www.antlerinteractive.com/,​​Antler Interactive,Web3,Gaming,none,none
​​Saddle Finance - Seed,Seed,2021-01-19T00:00:00.000Z,Polychain Capital/Coinbase Ventures/Divergent Ventures/Electric Capital,4300000,none,An automated market maker optimized for pegged value crypto assets like tokenized bitcoin and stablecoins,Sunil Srivatsa,https://saddle.finance/,​​Saddle Finance,DeFi,AMM,none,none
Maps.me - Strategic,Strategic,2021-01-18T00:00:00.000Z,CMS Holdings,50000000,none,An offline mobile app for travelers with 140 million users worldwide aims to build a decentralized finance ecosystem inside the map App,Alex Grebnev,https://maps.me/,Maps.me,Web3,Mobile/Travel,none,none
Rain - Series A,Series A,2021-01-17T00:00:00.000Z,"MVEP Capital/Coinbase Ventures/CMT Digital/Vision
  Ventures/Abdul Latif Jameel ",6000000,none,A licensed crypto-asset brokerage and custodian in the Middle East.,Abdullah Almoaiqel/AJ Nelson/Joseph Dallago,https://www.rain.bh/,Rain,CeFi,Brokerage/Custody,https://www.coindesk.com/coinbase-joins-6m-funding-round-for-licensed-middle-east-exchange-rain-financial,none
Arpa - Seed,Seed,2021-01-19T00:00:00.000Z,Block Vision Capital,1500000,none,"Enables private smart contract, unprecedented data-at-use privacy protection, as well as scalable computational sharding",Felix Xu/Yemu Xu,https://arpachain.io/,Arpa,Infrastructure,Privacy,https://arpa.medium.com/arpa-monthly-report-january-progress-review-703708a44889,none
Router - Seed,Seed,2021-01-16T00:00:00.000Z,none,480000,none,Building critical infrastructure that facilitates seamless cross-chain liquidity flows,Ramani 'Ram' Ramachandran/Chandan Choudhury,https://www.routerprotocol.com/,Router,DeFi,Liquidity,none,none
OptionRoom - Pre-Seed,Pre-Seed,2020-01-16T00:00:00.000Z,NGC Ventures/CMS Holdings/PAKA,200000,none,User governed oracle and forecast protocol built on Polkadot,Marsel Adawi,https://www.optionroom.finance/,OptionRoom,Infrastructure,Oracle,https://optionroom.medium.com/optionroom-closes-200k-seed-round-c9caa634549e,none
Topl - Seed,Seed,2020-12-20T00:00:00.000Z,"Mercury
  Fund/GOOSE
  Capital/Chingona
  Ventures/Blue
  Collective/RevTech
  Ventures/Social
  Impact Capital/Beni
  Venture Capital",3000000,none,Topl is an ESG tech company building a blockchain to help organizations prove their ethical and sustainable practices.,Kim Raath/Chris Georgen/James Aman,https://www.topl.co/,Topl,Web3,Environment,none,none
Royale - Series A,Series A,2021-01-14T00:00:00.000Z,AU21 Capital,1500000,none,A cross-chain DeFi solution for the iGaming industry,Giorgio Andrews,https://royale.finance/,Royale,DeFi,Gaming,none,none
Infinite Fleet - Strategic,Strategic,2020-08-06T00:00:00.000Z,Adam Back,3100000,none,Infinite Fleet is an epic sci-fi massively multiplayer online (MMO) strategy game,Samson Mow,https://www.infinitefleet.com/,Infinite Fleet,Web3,Gaming,none,none
​​0x Labs - Series A,Series A,2021-02-05T00:00:00.000Z,Pantera Capital/Jump Capital/Coinbase Ventures/Blockchain.com/DeFi Alliance/Nascent/Nima Capital,15000000,none,An open protocol that enables peer-to-peer trading of assets,Amir Bandeali/Will Warren,https://0x.org/,​​0x Labs,DeFi,Trading,none,none
​​Public Mint - Strategic,Strategic,2021-02-08T00:00:00.000Z,Black Edge Capital/AU21 Capital/Woodstock Fund/Kenetic,2500000,none,"Public Mint is a complete platform for tokenized fiat, fully collateralized, regulated and FDIC insured",Paulo Jacinto Rodrigues,https://publicmint.com/,​​Public Mint,DeFi,Tokenization,none,none
Polkamarkets - Strategic,Strategic,2021-02-10T00:00:00.000Z,Moonrock Capital/Morningstar Ventures/NGC Ventures/Astronaut Capital/Spark Capital,625000,none,Polkamarkets is a DeFi-Powered Prediction Market built for cross-chain information exchange and trading ,Ricardo Marques/Francisco Lourenço,https://www.polkamarkets.com/,Polkamarkets,DeFi,Prediction,none,none
Vesper - Strategic,Strategic,2021-02-05T00:00:00.000Z,Ryan Selkis/Meltem Demirors/Harry Yeh/CMT Digital/Digital Strategies/HCM Capital/Capital6 Eagle/VeriBlock,2500000,none,Vesper is dedicated to creating and supporting the conditions for DeFi’s expansion and success,Jeff Garzik/Jordan Kruger/Matthew Roszak,https://vesper.finance/,Vesper,DeFi,Yield,none,none
Ledn - Seed,Seed,2021-02-08T00:00:00.000Z,Coinbase Ventures/CMT Digital/Kingsway Capital/White Star Capital,2700000,none,A better home for your bitcoin. Credit and savings products for your digital assets.,Adam Reeds/Mauricio Di Bartolomeo,https://ledn.io,Ledn,CeFi,Savings,none,none
Plasm - Series A,Series A,2021-02-09T00:00:00.000Z,Binance Labs,2400000,none,"A decentralized application platform that scales itself via implementing layer 2 solutions such as Plasma, State Channels.",Sota Watanabe,https://www.plasmnet.io/,Plasm,Infrastructure,Scalability,none,none
Rarible - Seed,Seed,2021-02-03T00:00:00.000Z,1kx/CoinFund/Coinbase Ventures/ParaFi Capital,1750000,none,Creator-centric NFT marketplace with a community governance program,Alexei Falin/Alexander Salnikov,https://rarible.com/,Rarible,NFTs,Marketplace,none,none
SynFutures - Seed,Seed,2021-02-04T00:00:00.000Z,Standard Crypto,1400000,none,Decentralized synthetic assets derivatives protocol,Rachel Lin,https://www.synfutures.com/,SynFutures,DeFi,Synthetics,none,none
Xend Finance - Seed,Seed,2021-02-11T00:00:00.000Z,Binance Labs/AU21 Capital/AmpliFi/NGC Ventures,2000000,none,Nigerian DeFi platform for credit unions and cooperatives,Aronu Ugochukwu,https://xend.finance/,Xend Finance,DeFi,Savings,none,none
Synthetix - Treasury Diversification,Treasury Diversification,2021-02-14T00:00:00.000Z,Paradigm/Coinbase Ventures,12000000,none,Synthetix is a decentralised synthetic asset platform that supports multiple fiat currencies and commodities.,Kain Warwick,https://synthetix.io/,Synthetix,DeFi,Synthetics/Trading,none,none
Swarm - Strategic,Strategic,2021-02-06T00:00:00.000Z,Bitscale Capital/KR1/DFG (Dynamic Fintech Group)/LD Capital/Waterdrip Capital,6000000,none,A decentralised storage and communication system for a sovereign digital society,Viktor Tron,https://swarm.ethereum.org/,Swarm,Infrastructure,Storage,none,none
Mask - Seed,Seed,2021-02-15T00:00:00.000Z,Digital Currency Group/Fundamental Labs/Longling Capital/Animoca Brands/Block0/3Commas/Qiao Wang/Imran Khan,3000000,none,"A peer to peer encrypted messaging application, with new functions continuously being created around this foundation",Suji Yan,https://mask.io/,Mask,Web3,Messaging,none,none
Nexus Mutual - Seed,Seed,2021-02-16T00:00:00.000Z,1confirmation/Version One Ventures/Blockchain Capital,2700000,none,Nexus Mutual uses the power of Ethereum so people can share risk together without the need for an insurance company.,Hugh Karp,https://nexusmutual.io/,Nexus Mutual,Infrastructure,Insurance,none,none
Charged Particles - Pre-Seed,Pre-Seed,2021-02-15T00:00:00.000Z,"Stani Kulechov/Liz Rabban/Leighton Cusack/Matthew Taylor/Tyler Ward/The LAO/CoinGecko Ventures/D64 Ventures/LongHash Ventures/ParaFi Capital/Fourth
  Revolution Capital/AU21 Capital/Moonwhale
  Ventures/DAO Maker/Kain
  Warwick",750000,none,DeFi NFTs - Interest-bearing Non-fungible Tokens on Ethereum,Rob Secord/Ben Lakoff,https://charged.fi/,Charged Particles,NFTs,DeFi - NFTs,none,none
Launchpool - Strategic,Strategic,2021-03-16T00:00:00.000Z,"Kyros
  Ventures/Alpha
  Sigma Capital/Master
  Ventures/JUN
  Capital/A195 Capital/Sky
  Ventures/Protocol Ventures/Alphabit Digital Currency Fund/GBIC (Global Blockchain Innovative Capital)/FBG Capital",none,none,Launchpool believe all project stakeholders are as important as each other. ,Richard Simpson,https://launchpool.xyz/,Launchpool,DeFi,Launchpad,none,none
FMX - Strategic,Strategic,2021-02-14T00:00:00.000Z,none,1000000,none,"FMX, an advanced, reliable trading platform with liquidity provided by FTX that brings you more chances to rake in millions",Tuan Anh Nguyen,https://fmx.trade/,FMX,CeFi,Trading,none,none
​​Ethernity Chain - Strategic,Strategic,2021-02-18T00:00:00.000Z,Black Edge Capital/Morningstar Ventures/Woodstock Fund,none,none,Aims to mainstream NFT-based digital art while supporting charitable causes that will help those in need,Nick Rose Ntertsas,https://ethernity.io/,​​Ethernity Chain,Infrastructure,Art,none,none
APYSwap - Strategic,Strategic,2021-02-18T00:00:00.000Z,NGC Ventures/Astronaut Capital/AngelOne,none,none,APYSwap is a protocol for the decentralized exchange of shares of Tokenized Vaults,Andriy Velykyy,https://apyswap.com/,APYSwap,DeFi,Exchange,none,none
Clover Finance - Seed,Seed,2021-02-18T00:00:00.000Z,Polychain Capital/Hypersphere Ventures/Divergent Ventures,3000000,none,Clover is a Foundational Layer for Cross-chain Compatibility,Viven Kirby/Norelle Ng/Burak Keçeli,https://clover.finance/,Clover Finance,DeFi,Interoperability,none,none
Reflexer - Strategic,Strategic,2021-02-11T00:00:00.000Z,Pantera Capital/Lemniscap/Standard Crypto/Paradigm,4100000,none,A platform where anyone can use their crypto collateral to issue reflex indexes,Stefan Ionescu,https://reflexer.finance/,Reflexer,DeFi,Stablecoins,none,none
Async Art - Seed,Seed,2021-02-18T00:00:00.000Z,Divergent Ventures/Collab+Currency/The LAO/Lemniscap/Semantic Ventures,2000000,none,"Collect and create programmable art: digital paintings split into ""Layers"" which you can use to affect the overall image",Conlan Rios,https://async.art/,Async Art,Web3,Art,none,none
